gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance
CCDC77,663.2427344105809,1.1235181338770344,0.06973635562446727,16.110938459807375,2.1375500696368698e-58,1.2289448825021839e-56,Upregulated
KCNQ4,186.4493775125527,2.450351229290364,0.15212507302935124,16.107477751662866,2.260583163504269e-58,1.295244714979852e-56,Upregulated
STAC,201.9276132249033,2.6064323754731915,0.16216344427418114,16.072872570875546,3.95333939464961e-58,2.2421845188303263e-56,Upregulated
KRT79,37.29672914972321,3.7420810072829096,0.23288255541347455,16.068532916254632,4.240028203233137e-58,2.396686649019458e-56,Upregulated
ARL9,145.14731888173893,2.484466784552256,0.1547546219855363,16.05423316393393,5.339474643596109e-58,3.008023500560117e-56,Upregulated
NCK2,2502.7011169617062,1.0295211791534615,0.06422270669359154,16.03048566709183,7.826865883517524e-58,4.350908094453383e-56,Upregulated
PLCG2,1465.241722194035,1.505823804747357,0.09407418910265167,16.00676890346868,1.1460901914372769e-57,6.308381027491476e-56,Upregulated
LMO4,4609.855687362912,1.7982780245321806,0.11236183829597407,16.00434855644946,1.1915385647788424e-57,6.515814145116354e-56,Upregulated
POLR3G,207.85235574122575,1.3560094344933273,0.08473382429379818,16.003165746321404,1.2143975761713189e-57,6.619255359988345e-56,Upregulated
E2F3,1930.432013804303,1.1834742174380104,0.07427312385008135,15.934084310588938,3.675453296435727e-57,1.97135814506591e-55,Upregulated
CDKN2A,1066.4896740572779,2.400557857126567,0.15068010763012257,15.931484884648901,3.8314926508410267e-57,2.0485063255515653e-55,Upregulated
SRPK1,2390.4288476058036,1.0372152073033365,0.0651691919084092,15.915729149458702,4.928942153013742e-57,2.618578508379579e-55,Upregulated
SKP2,1481.6733249647857,1.2479019269525045,0.07841905038313592,15.913249661345898,5.128118218456465e-57,2.7157996420014868e-55,Upregulated
POU5F1,47.797716726297494,2.1760085899752877,0.13677106909381745,15.90986020941801,5.413422898597909e-57,2.8578787302409338e-55,Upregulated
PDE9A,561.806130886213,1.9518338895597824,0.12275774013037617,15.899884500047136,6.348168351592223e-57,3.33040782145407e-55,Upregulated
FSCN1,4953.667108599342,1.6263533635169374,0.10274183939329425,15.829513790299986,1.9472000857385988e-56,9.876010585915286e-55,Upregulated
PLEKHG1,1393.7199245098416,1.3429265974504687,0.08503921583539108,15.791850668636789,3.540385358905045e-56,1.7689282561100566e-54,Upregulated
TMSB15B,19.587476255461695,2.108199156959827,0.1335618874227466,15.78443669552984,3.981881113211365e-56,1.9836148406110502e-54,Upregulated
C6orf15,75.37499687512233,3.9731610327512965,0.25176812927625264,15.78103250865301,4.202567801127206e-56,2.0873582321101634e-54,Upregulated
LCTL,19.56935807443989,1.8214132236766136,0.11545421271306519,15.776065514415796,4.5466013431448235e-56,2.2515735501095956e-54,Upregulated
NRG4,29.46890723469049,1.9218001617386054,0.12193515715771802,15.76083720671994,5.786137407293576e-56,2.8402828887030574e-54,Upregulated
SCRG1,189.4808854227135,3.665507311464517,0.23369107086053223,15.685269009067559,1.9075329157041613e-55,9.175834552676635e-54,Upregulated
NCAPD2,6373.934501468055,1.1824428986521123,0.07542183471110461,15.677726525499349,2.148060462208402e-55,1.0303325439872757e-53,Upregulated
PSAT1,1052.3232595736733,2.9250349439618875,0.18676312124583577,15.661737309003698,2.762467500200942e-55,1.3175086475390175e-53,Upregulated
CAPN6,863.8534578949133,3.6027484811150154,0.2304377741556759,15.634365912079682,4.246811725566179e-55,2.0139964759549437e-53,Upregulated
GLS,4004.7386410034164,1.1483172311861825,0.07354413628075095,15.613987589745301,5.8465797809377035e-55,2.7570893641118584e-53,Upregulated
TMSB15A,194.30512007882908,2.816463409813384,0.1805498495901044,15.599367245154156,7.351917038977071e-55,3.4475972974957283e-53,Upregulated
ANKRD45,14.319265862687958,2.1857459977903027,0.14030821722948572,15.578175255518596,1.0243738637606406e-54,4.776996784670454e-53,Upregulated
ZNF286A,388.53766915256415,1.0402829329254375,0.06702865670875546,15.51997285945241,2.5415845674172435e-54,1.1500841433369458e-52,Upregulated
PRTFDC1,428.36767538584786,1.78905481601166,0.11529061088007221,15.51778416607293,2.6297628874333054e-54,1.1867865417803854e-52,Upregulated
ADD2,413.8517253454553,2.288791358467153,0.14753956919882105,15.5130679240552,2.8302631299876943e-54,1.273846043598751e-52,Upregulated
LBR,2763.187186380157,1.217714931731456,0.07851830732204707,15.508675279217783,3.030671848916557e-54,1.3582443849794584e-52,Upregulated
PTGS2,465.08713372528297,2.987679037336605,0.19267919099426828,15.505976654352263,3.16073750232621e-54,1.4112356699216067e-52,Upregulated
IFNAR2,61.2574951499556,1.0662670622929138,0.06879693879776053,15.498757370983821,3.536661699070062e-54,1.5748932786203766e-52,Upregulated
CAMKV,22.959450549866677,4.14371050133044,0.2674428383364578,15.493817397037281,3.81923712912976e-54,1.6917507367765278e-52,Upregulated
MPP6,460.2281928132611,1.791906471442819,0.11575944970863329,15.479569710749752,4.7665021234489564e-54,2.0892960221530307e-52,Upregulated
FZD9,112.02714302303235,3.3660309335316,0.21753960215517504,15.473186951636272,5.263539813368593e-54,2.301153812157082e-52,Upregulated
GPR55,52.60072962063954,2.4942435799973115,0.1614135299059309,15.452506251805005,7.256609742936357e-54,3.1317214489566986e-52,Upregulated
