patient_id,Complement,IL-6/JAK/STAT3 Signaling,Inflammatory Response,Interferon Alpha Response,Interferon Gamma Response,TNF-alpha Signaling via NF-kB
TCGA-A2-A04T,3317.4031513442987,2769.8006550689915,2033.3799385485636,4255.748533888431,3972.6622714754903,3643.71929979778
TCGA-A2-A04U,2573.167785682146,1717.9767895225868,882.3962707917599,3368.9091590717,2742.331481846737,3182.7389137652317
TCGA-A2-A04W,3347.50142210768,2324.8641525171606,2065.4955901788962,3635.3831089844607,3267.0975628060205,4516.319104107608
TCGA-A2-A04X,3647.2934677171506,3233.8388171009665,2371.0546966227703,6906.914194087476,5669.483147481051,4128.055851047013
TCGA-A2-A0CK,3094.677157581398,2585.825626775135,1535.115533241078,4336.806170746426,3627.4616051079793,4271.697057629948
TCGA-A2-A0CL,4261.793336053597,4325.453558075787,3458.2351499415927,7368.691797821883,6396.150399539085,5453.4668066572995
TCGA-A2-A0CM,3979.3274734209153,3829.9009666558923,3059.6584105910442,6792.475287034518,5924.620369528428,5039.079904324428
TCGA-A2-A0CP,3238.2735088125974,2471.4961935104748,1789.3096770923112,4217.421757510056,3501.625221218619,4313.637808696576
TCGA-A2-A0CR,4128.334712048056,3840.561500705797,2959.5709649629844,6205.06562653169,5486.05418263416,5147.43221910568
TCGA-A2-A0CT,2776.7940120031235,2129.9857984982027,1404.0458794198512,3905.798167776342,3074.0995355930027,3546.0204213380057
TCGA-A2-A0CW,3270.815378100522,2512.9868134724475,1341.5983555278635,6427.054574155793,4838.7606766626905,3204.299631840693
TCGA-A2-A0CX,3795.372682561916,2983.102910274878,2141.9523554963926,5275.188267926755,4436.8897209842125,4037.87631944263
TCGA-A2-A0CY,2966.0595600615725,1635.7863629361927,1011.9814588760273,2678.091479328885,2330.1279514552225,3567.9992231144897
TCGA-A2-A0CZ,3724.984773089047,3314.635840848654,2464.4895865821163,4578.507860595033,4072.8849428589638,4744.567562838083
TCGA-A2-A0D1,2447.7777410275685,1457.8238413711006,814.8743218595628,3455.1214707751096,2924.783144855077,2974.4861541349783
TCGA-A2-A0D2,3597.1416822492483,3207.3677262232377,2422.4445304810124,4597.528043847455,4183.32885119867,4557.547398304108
TCGA-A2-A0D3,2951.5627897665145,2218.6681144789236,1351.2963462722819,4120.321538565377,3393.441701839145,3729.2021308117473
TCGA-A2-A0D4,2886.524005322939,1881.3388322716146,868.2868423725595,4252.913699121897,3133.5876792832096,3048.8886442413313
TCGA-A2-A0EM,3010.756242611298,2192.134071992976,1571.8405224174821,3652.799338203431,3066.9947224229436,3127.117387841712
TCGA-A2-A0EQ,3859.3335404334593,3725.3160334987824,2687.594840879923,5661.725910183861,5234.67026518055,4210.685990060581
TCGA-A2-A0ES,3748.0736346882877,3202.886649403368,2507.3737902017765,4978.580624096765,4191.29946937931,5261.950595849414
TCGA-A2-A0ET,2800.137132189231,2165.357439057103,1476.2727902279858,5357.923589623155,3986.530317213923,3311.111920407864
TCGA-A2-A0EU,3096.626039522589,2349.902363923695,1827.1193934041112,4611.160019926956,3674.9026370963657,4165.537562989104
TCGA-A2-A0EV,3767.5511043578426,2858.078609458702,2246.0985309154657,5584.774864603834,4533.371078831629,3931.0910621291296
TCGA-A2-A0EX,3222.6704843681764,2337.780601303797,1742.8844076044497,3852.9553380323287,3307.1908609461298,3691.558152980404
TCGA-A2-A0EY,3436.987359435503,2667.766743093589,1693.3415139935696,3522.9953515090674,3250.7834027777517,3597.3348163552746
TCGA-A2-A0ST,4651.25579707605,4603.677447234093,3558.5975142308434,7356.465027914146,6640.550615116637,5342.049982001718
TCGA-A2-A0SU,3173.706457095277,2426.190275898667,1725.2766611771349,3724.963872775048,3325.748612915295,3860.7659841475124
TCGA-A2-A0SW,3971.4103688687374,3457.6269719544216,2225.4431311907992,5883.62448770204,5093.704697106905,3925.353393898804
TCGA-A2-A0SX,3985.591544310102,3753.2234940871276,3114.2546922852252,6253.697771910505,5383.948989550092,4887.3164835551615
TCGA-A2-A0T0,3322.1580617488944,2774.881604902035,1899.72807908317,3694.810072488539,3525.8651942537454,3947.844643837765
TCGA-A2-A0T1,4229.648910877169,3975.2076986747597,2815.9005590336455,5762.227102813593,5283.901232468124,4447.871346852498
TCGA-A2-A0T2,3408.8628660102786,2795.7119172175753,1827.574411367459,4348.620120306765,3802.3708065473365,3786.1417186501003
