Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),3/62,0.022067986007006,0.3696821519739373,0,0,5.28492417484389,20.154731204932823,TNFSF12;TNFSF10;TP53
GO_Biological_Process_2023,Regulation Of Execution Phase Of Apoptosis (GO:1900117),2/24,0.0222428712916534,0.3696821519739373,0,0,9.416944312232271,35.838382443377334,DFFA;TP53
GO_Biological_Process_2023,Photoperiodism (GO:0009648),2/24,0.0222428712916534,0.3696821519739373,0,0,9.416944312232271,35.838382443377334,PPP1CB;TP53
GO_Biological_Process_2023,Response To Purine-Containing Compound (GO:0014074),2/24,0.0222428712916534,0.3696821519739373,0,0,9.416944312232271,35.838382443377334,P2RX7;P2RX4
GO_Biological_Process_2023,G1/S Transition Of Mitotic Cell Cycle (GO:0000082),3/63,0.0230107826864016,0.3731804004442826,0,0,5.196578947368421,19.600416774206096,NPAT;CUL5;SPDYA
GO_Biological_Process_2023,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),4/112,0.0233060112996429,0.3731804004442826,0,0,3.860278267685675,14.510955690594262,SLC27A1;CDKN2B;RALB;CDKN2A
GO_Biological_Process_2023,Small GTPase Mediated Signal Transduction (GO:0007264),4/112,0.0233060112996429,0.3731804004442826,0,0,3.860278267685675,14.510955690594262,RALB;CDKN2A;TP53;RGL2
GO_Biological_Process_2023,Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056),3/64,0.0239752113740225,0.37551448264406,0,0,5.111130284728214,19.068271834300443,CASP8;TNFSF10;BAK1
GO_Biological_Process_2023,Carbohydrate Biosynthetic Process (GO:0016051),2/25,0.0240257245856911,0.37551448264406,0,0,9.007056681083542,33.58398323829012,B3GALT4;MPDU1
GO_Biological_Process_2023,Telomere Maintenance Via Telomere Lengthening (GO:0010833),2/26,0.0258651058844449,0.37551448264406,0,0,8.631326352530541,31.54629359138674,TERT;WRAP53
GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),3/66,0.0259689211267704,0.37551448264406,0,0,4.948370927318296,18.065783738468166,ATM;PEX14;CAMKK2
GO_Biological_Process_2023,Cellular Response To Oxidative Stress (GO:0034599),4/117,0.0268185037709803,0.37551448264406,0,0,3.688533033665777,13.347558715844348,ATM;TP53;PEX14;CAMKK2
GO_Biological_Process_2023,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),5/174,0.0269946507810664,0.37551448264406,0,0,3.0904570061689536,11.1630909046888,TCF7L2;SLC27A1;ADSL;FXR2;P2RX4
GO_Biological_Process_2023,Peptidyl-Tyrosine Phosphorylation (GO:0018108),3/67,0.0269981643072315,0.37551448264406,0,0,4.870805921052631,17.593284762927368,ALK;CLK1;PIBF1
GO_Biological_Process_2023,Regulation Of Protein Kinase Activity (GO:0045859),4/119,0.0283074586926963,0.37551448264406,0,0,3.624016563146998,12.91827798395902,DAXX;SPDYA;ECT2;CAMKK2
GO_Biological_Process_2023,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237),3/70,0.0302150904724737,0.37551448264406,0,0,4.652003142183818,16.27928396959736,TCF7L2;TERT;CFLAR
GO_Biological_Process_2023,Phosphatidic Acid Biosynthetic Process (GO:0006654),2/29,0.0317100607647983,0.37551448264406,0,0,7.671126624006205,26.473988288941342,SLC27A1;LPCAT1
GO_Biological_Process_2023,Cellular Response To Hypoxia (GO:0071456),3/72,0.0324669572669917,0.37551448264406,0,0,4.516704805491991,15.481152090573977,TERT;MDM4;TP53
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Nucleus (GO:1900182),3/72,0.0324669572669917,0.37551448264406,0,0,4.516704805491991,15.481152090573977,TCF7L2;TERT;ECT2
GO_Biological_Process_2023,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),9/456,0.033332622824217,0.37551448264406,0,0,2.1184709658593524,7.205383058477401,TCF7L2;DAXX;RING1;CDKN2A;MDM4;CHD3;TP53;ZBTB4;PEX14
GO_Biological_Process_2023,Cellular Response To Decreased Oxygen Levels (GO:0036294),3/73,0.0336249117928369,0.37551448264406,0,0,4.451954887218045,15.103203817800264,TERT;MDM4;TP53
GO_Biological_Process_2023,"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",2/30,0.0337632887871854,0.37551448264406,0,0,7.396783844427824,25.063123299077716,WDR46;WDR43
GO_Biological_Process_2023,Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095),2/30,0.0337632887871854,0.37551448264406,0,0,7.396783844427824,25.063123299077716,BABAM1;ATM
GO_Biological_Process_2023,Protein-Containing Complex Organization (GO:0043933),4/126,0.0339009445646314,0.37551448264406,0,0,3.4148668574898084,11.556976256026868,MDM4;TP53;PEX14;TAPBP
GO_Biological_Process_2023,Non-Motile Cilium Assembly (GO:1905515),2/31,0.0358670030910624,0.37551448264406,0,0,7.141361256544503,23.766004213100285,RPGRIP1L;PIBF1
GO_Biological_Process_2023,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238),2/31,0.0358670030910624,0.37551448264406,0,0,7.141361256544503,23.766004213100285,TNFSF12;TNFSF10
GO_Biological_Process_2023,Negative Regulation Of Phosphorylation (GO:0042326),3/75,0.0360045538416793,0.37551448264406,0,0,4.327850877192983,14.386251742861743,PPP1R15B;CDKN2B;CDKN2A
GO_Biological_Process_2023,Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032),3/75,0.0360045538416793,0.37551448264406,0,0,4.327850877192983,14.386251742861743,FXR2;P2RX4;SGSM3
GO_Biological_Process_2023,Positive Regulation Of Protein Secretion (GO:0050714),3/76,0.0372261025099492,0.37551448264406,0,0,4.268348954578227,14.046048336473843,TCF7L2;NLGN2;EXPH5
GO_Biological_Process_2023,Regulation Of Ras Protein Signal Transduction (GO:0046578),3/76,0.0372261025099492,0.37551448264406,0,0,4.268348954578227,14.046048336473843,SYNGAP1;SGSM3;MYO9B
GO_Biological_Process_2023,Phosphatidic Acid Metabolic Process (GO:0046473),2/33,0.0402212895481425,0.37551448264406,0,0,6.6799527106907615,21.46508504552458,SLC27A1;LPCAT1
GO_Biological_Process_2023,Positive Regulation Of RNA Metabolic Process (GO:0051254),2/33,0.0402212895481425,0.37551448264406,0,0,6.6799527106907615,21.46508504552458,POLR2A;WDR43
GO_Biological_Process_2023,Signal Transduction By P53 Class Mediator (GO:0072331),2/33,0.0402212895481425,0.37551448264406,0,0,6.6799527106907615,21.46508504552458,MDM4;TP53
GO_Biological_Process_2023,Positive Regulation Of Protein Dephosphorylation (GO:0035307),2/33,0.0402212895481425,0.37551448264406,0,0,6.6799527106907615,21.46508504552458,PPP1R15B;SPPL3
GO_Biological_Process_2023,Regulation Of G0 To G1 Transition (GO:0070316),2/33,0.0402212895481425,0.37551448264406,0,0,6.6799527106907615,21.46508504552458,CDKN2B;SOX15
GO_Biological_Process_2023,Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),3/79,0.0410167251969978,0.37551448264406,0,0,4.099238227146814,13.09204606031208,CDKN2B;CDKN2A;SPDYA
GO_Biological_Process_2023,Regulation Of Neuron Differentiation (GO:0045664),3/79,0.0410167251969978,0.37551448264406,0,0,4.099238227146814,13.09204606031208,ALK;CASZ1;ECT2
GO_Biological_Process_2023,Vesicle Fusion (GO:0006906),3/79,0.0410167251969978,0.37551448264406,0,0,4.099238227146814,13.09204606031208,VTI1A;RAB39A;NKD2
GO_Biological_Process_2023,Regulation Of Metal Ion Transport (GO:0010959),2/34,0.0424696044049044,0.37551448264406,0,0,6.470876963350785,20.441284519565546,P2RX7;P2RX4
GO_Biological_Process_2023,Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815),2/34,0.0424696044049044,0.37551448264406,0,0,6.470876963350785,20.441284519565546,PHF1;TP53
GO_Biological_Process_2023,Spindle Assembly (GO:0051225),3/81,0.0436479183121832,0.37551448264406,0,0,3.993724696356275,12.506747014170628,HAUS8;KIFC1;PIBF1
GO_Biological_Process_2023,Cellular Response To Oxygen-Containing Compound (GO:1901701),8/406,0.0438154535076828,0.37551448264406,0,0,2.108814341980171,6.595883501425458,P2RX7;P2RX4;ATM;CD68;ECT2;ESR1;PEX14;CAMKK2
GO_Biological_Process_2023,Regulation Of Protein Phosphorylation (GO:0001932),6/265,0.0439787848037288,0.37551448264406,0,0,2.4216546569487747,7.565365205850022,PPP1R15B;DAXX;FXR2;RALB;ECT2;CAMKK2
GO_Biological_Process_2023,Regulation Of Cellular Senescence (GO:2000772),2/35,0.0447638905190001,0.37551448264406,0,0,6.274472473425353,19.49072940152704,TERT;TP53
GO_Biological_Process_2023,Regulation Of Sodium Ion Transport (GO:0002028),2/35,0.0447638905190001,0.37551448264406,0,0,6.274472473425353,19.49072940152704,P2RX7;P2RX4
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),3/82,0.0449944648501126,0.37551448264406,0,0,3.942971352431712,12.228005057535134,TCF7L2;BAK1;CFLAR
GO_Biological_Process_2023,tRNA Methylation (GO:0030488),2/36,0.0471030614678721,0.37551448264406,0,0,6.089621188789652,18.60633381347513,TRMT61B;GTPBP3
